pk_order_no,pk_order_item_no,order_type,order_type_gen_descr,order_category,sales_org,distr_channel,sold_to_party,ship_to_party,payer,material_no,storage_location,delivery_plant_code,order_doc_date,order_doc_time,order_doc_datetime,item_create_date,item_create_time,item_create_datetime,item_update_date,initial_req_del_date,cust_req_del_date,sys_cfm_del_date,cfm_material_avail_date,cfm_goods_issue_date,tgt_material_avail_date,tgt_goods_issue_date,tgt_del_date,planned_material_avail_date,planned_goods_issue_date,planned_del_date,downgrade_date,downgrade_time,pricing_date,overall_item_status,item_del_status,item_related_bill_status,overall_item_delivery_status,item_packing_status,item_goods_mvmt_status,item_del_related_bill_status,item_reject_status,item_type,item_category,sales_distr,document_currency,local_currency,product_attribute,material_entered,order_material_descr,cust_material_no,target_quantity,material_sold_sales_unit,base_unit_meas,cond_ref_unit_meas,parent_doc_no,parent_doc_item_no,price_list,price_group,cust_pricing_group,cond_pricing_unit,pricing_cond_subtotal_1,pricing_cond_subtotal_2,pricing_cond_subtotal_3,pricing_cond_subtotal_4,pricing_cond_subtotal_5,pricing_cond_subtotal_6,reject_reason,cust_po_item_no,shipping_point,del_route,wbs_element,incoterm,incoterm2,payment_term,cust_vendor_contact,item_create_by,is_bill_block_order_item,del_block_schedule_line,del_block_order,exchange_rate,net_value,net_price,item_qty,item_del_qty,item_bill_qty,item_goods_issue_qty,daily_exchange_rate,net_value_lc,net_value_gc,is_open_order,open_del_qty,order_qty_wo_del,open_order_qty,goods_issued_value,order_value_wo_del,order_value_wo_del_lc,order_value_wo_del_gc,billing_value,open_order_value,open_order_value_lc,open_order_value_gc,backorder_value_tgid,backorder_value_tgid_lc,backorder_value_tgid_gc,backorder_value_tmad,backorder_value_tmad_lc,backorder_value_tmad_gc,open_order_val_credit_blocked,open_order_val_credit_blocked_lc,open_order_val_credit_blocked_gc,open_order_val_del_header_blocked,open_order_val_del_header_blocked_lc,open_order_val_del_header_blocked_gc,open_order_val_del_item_blocked,open_order_val_del_item_blocked_lc,open_order_val_del_item_blocked_gc,open_order_val_bill_blocked,open_order_val_bill_blocked_lc,open_order_val_bill_blocked_gc,open_order_val_blocked,open_order_val_blocked_lc,open_order_val_blocked_gc,open_order_val_unblocked,open_order_val_unblocked_lc,open_order_val_unblocked_gc,backorder_value_unblocked,backorder_value_unblocked_lc,backorder_value_unblocked_gc,open_order_block_ind,open_order_del_block_header_ind,open_order_del_block_item_ind,open_order_bill_block_ind,is_backorder,distr_channel_pl,etl_load_time,erdat_pmonth
2001176768,000070,ZSO,Standard,C,CN20,G1,0118004312,0118403462,0118004312,0986T149247CE,,66A1,20231220,133138,2023-12-20 13:31:38,20231220,133138,2023-12-20 13:31:38,00000000,20231220,20231220,20231227,20231220,20231222,20231220,20231222,20231220,20231220,20231222,20231227,00000000,,20231220,C,C,,C,,,,A,,ZSO,KAM3,CNY,CNY,,0986T14924,后刹车片,BR-BOSCH-SPECR|27,0,SET,SET,SET,,000000,,O4,QC,1,521.44,521.44,521.44,0.00,0.00,0.00,,000070,66A1,KHNRN4,00000000,DAP,Delivered At Place,R259,465898498,EDI/API,,"""""",,1.00000,521.44,65.18,8.00,8.00,0.00,0.00,-7.82310,521.44,66.65,Y,8.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,521.44,521.44,66.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,521.44,66.65,521.44,0.00,0.00,0.00,0,0,0,0,0,,2023-12-21 06:03:59,202312
2001176670,001090,ZSO,Standard,C,CN20,G1,0118006073,0118404428,0118006073,0986T11268HDU,,66A1,20231219,145223,2023-12-19 14:52:23,20231219,145223,2023-12-19 14:52:23,00000000,20231219,20231219,20231222,20231219,20231221,20231219,20231221,20231219,20231219,20231221,20231222,00000000,,20231219,C,C,,C,,,,A,,ZSO,SCN13,CNY,CNY,,0986T11268,前刹车片,,0,SET,SET,SET,,000000,,G2,CJ,1,319.72,319.72,319.72,0.00,0.00,0.00,,001090,66A1,SHARN3,00000000,DAP,Delivered at Place,D118,,BCP,,"""""",,1.00000,319.72,159.86,2.00,2.00,0.00,0.00,-7.78930,319.72,41.05,Y,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,319.72,319.72,41.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,319.72,41.05,319.72,0.00,0.00,0.00,0,0,0,0,0,,2023-12-21 06:03:59,202312
2001176770,000180,ZSO,Standard,C,CN20,G1,0118004312,0118403471,0118004312,0986T16003HDU,,66A1,20231220,133136,2023-12-20 13:31:36,20231220,133148,2023-12-20 13:31:48,00000000,20231220,20231220,20231225,20231220,20231222,20231220,20231222,20231220,20231220,20231222,20231225,00000000,,20231220,C,C,,C,,,,A,,ZSO,KAM3,CNY,CNY,,0986T16003,刹车前盘,BD-BO-BDT|5,0,EA,EA,EA,,000000,,O4,QC,1,1280.00,1280.00,1280.00,0.00,0.00,0.00,,000180,66A1,WUXRN3,00000000,DAP,Delivered At Place,R259,465897699,EDI/API,,"""""",,1.00000,1280.00,160.00,8.00,8.00,0.00,0.00,-7.82310,1280.00,163.62,Y,8.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,1280.00,1280.00,163.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1280.00,163.62,1280.00,0.00,0.00,0.00,0,0,0,0,0,,2023-12-21 06:03:59,202312
2001176747,000020,ZSO,Standard,C,CN20,G1,0118004312,0118403473,0118004312,0986AB1154HDU,,66A1,20231220,133106,2023-12-20 13:31:06,20231220,133106,2023-12-20 13:31:06,00000000,20231220,20231220,20231229,20231220,20231222,20231220,20231222,20231220,20231220,20231222,20231229,00000000,,20231220,C,C,,C,,,,A,,ZSO,KAM3,CNY,CNY,,0986AB1154,前刹车片,BR-BO-Comfort|147,0,SET,SET,SET,,000000,,O4,QC,1,168.20,168.20,168.20,0.00,0.00,0.00,,000020,66A1,DLXRN4,00000000,DAP,Delivered At Place,R259,465897382,EDI/API,,"""""",,1.00000,168.20,84.10,2.00,2.00,0.00,0.00,-7.82310,168.20,21.50,Y,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,168.20,168.20,21.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,168.20,21.50,168.20,0.00,0.00,0.00,0,0,0,0,0,,2023-12-21 06:03:59,202312
2001176762,000130,ZSO,Standard,C,CN20,G1,0118004312,0118403475,0118004312,0986T148937CE,,66A1,20231220,133133,2023-12-20 13:31:33,20231220,133133,2023-12-20 13:31:33,00000000,20231220,20231220,20240102,20231220,20231222,20231220,20231222,20231220,20231220,20231222,20240102,00000000,,20231220,C,C,,C,,,,A,,ZSO,KAM3,CNY,CNY,,0986T14893,后刹车片,BR-BOSCH-SPECR|12,0,SET,SET,SET,,000000,,O4,QC,1,126.24,126.24,126.24,0.00,0.00,0.00,,000130,66A1,HAKRN4,00000000,DAP,Delivered At Place,R259,465898398,EDI/API,,"""""",,1.00000,126.24,63.12,2.00,2.00,0.00,0.00,-7.82310,126.24,16.14,Y,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,126.24,126.24,16.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126.24,16.14,126.24,0.00,0.00,0.00,0,0,0,0,0,,2023-12-21 06:03:59,202312
2001176772,000570,ZSO,Standard,C,CN20,G1,0118004312,0118403450,0118004312,0986T149387CE,,66A1,20231220,133150,2023-12-20 13:31:50,20231220,133203,2023-12-20 13:32:03,00000000,20231220,20231220,20231228,20231220,20231222,20231220,20231222,20231220,20231220,20231222,20231228,00000000,,20231220,C,C,,C,,,,A,,ZSO,KAM3,CNY,CNY,X,0986T14938,后刹车片,BR-BOSCH-SPECR|33,0,SET,SET,SET,,000000,,O4,QC,1,205.92,205.92,205.92,0.00,0.00,0.00,,000570,66A1,CTURN3,00000000,DAP,Delivered At Place,R259,465897832,EDI/API,,"""""",,1.00000,205.92,102.96,2.00,2.00,0.00,0.00,-7.82310,205.92,26.32,Y,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,205.92,205.92,26.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,205.92,26.32,205.92,0.00,0.00,0.00,0,0,0,0,0,,2023-12-21 06:03:59,202312
2001176762,000030,ZSO,Standard,C,CN20,G1,0118004312,0118403475,0118004312,0986T148707CE,,66A1,20231220,133133,2023-12-20 13:31:33,20231220,133133,2023-12-20 13:31:33,00000000,20231220,20231220,20240102,20231220,20231222,20231220,20231222,20231220,20231220,20231222,20240102,00000000,,20231220,C,C,,C,,,,A,,ZSO,KAM3,CNY,CNY,,0986T14870,前刹车片,BR-BOSCH-SPECF|8,0,SET,SET,SET,,000000,,O4,QC,1,293.88,293.88,293.88,0.00,0.00,0.00,,000030,66A1,HAKRN4,00000000,DAP,Delivered At Place,R259,465898388,EDI/API,,"""""",,1.00000,293.88,73.47,4.00,4.00,0.00,0.00,-7.82310,293.88,37.57,Y,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,293.88,293.88,37.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,293.88,37.57,293.88,0.00,0.00,0.00,0,0,0,0,0,,2023-12-21 06:03:59,202312
2001176770,000210,ZSO,Standard,C,CN20,G1,0118004312,0118403471,0118004312,0986AB9430HDU,,66A1,20231220,133136,2023-12-20 13:31:36,20231220,133148,2023-12-20 13:31:48,00000000,20231220,20231220,20231225,20231220,20231222,20231220,20231222,20231220,20231220,20231222,20231225,00000000,,20231220,C,C,,C,,,,A,,ZSO,KAM3,CNY,CNY,,0986AB9430,后刹车片,BR-BO-SCP|85,0,SET,SET,SET,,000000,,O4,QC,1,738.56,738.56,738.56,0.00,0.00,0.00,,000210,66A1,WUXRN3,00000000,DAP,Delivered At Place,R259,465897702,EDI/API,,"""""",,1.00000,738.56,92.32,8.00,8.00,0.00,0.00,-7.82310,738.56,94.41,Y,8.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,738.56,738.56,94.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,738.56,94.41,738.56,0.00,0.00,0.00,0,0,0,0,0,,2023-12-21 06:03:59,202312
2001176723,000010,ZSO,Standard,C,CN20,G1,0118000411,0118402883,0118000411,0986AF0047KZ7,,66A1,20231220,101855,2023-12-20 10:18:55,20231220,101855,2023-12-20 10:18:55,00000000,20231220,20231220,20231227,20231220,20231222,20231220,20231222,20231220,20231220,20231222,20231227,00000000,,20231220,C,C,,C,,,,A,,ZSO,SCN12,CNY,CNY,,0986AF0047,旋装型机油滤清器,,0,EA,EA,EA,,000000,,G2,B5,1,1532.16,1532.16,1532.16,0.00,0.00,0.00,,000010,66A1,SZXRN4,00000000,DAP,Delivered At Place,D780,,BCP,,"""""",,1.00000,1532.16,9.12,168.00,168.00,0.00,0.00,-7.82310,1532.16,195.85,Y,168.00,0.00,168.00,0.00,0.00,0.00,0.00,0.00,1532.16,1532.16,195.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1532.16,195.85,1532.16,0.00,0.00,0.00,0,0,0,0,0,,2023-12-21 06:03:59,202312
2001176595,000200,ZSO,Standard,C,CN20,G1,0118005018,0118403718,0118005018,3397013685KZ7,,66A1,20231219,105314,2023-12-19 10:53:14,20231219,105314,2023-12-19 10:53:14,00000000,20231219,20231219,20231229,20231219,20231221,20231219,20231221,20231219,20231219,20231221,20231229,00000000,,20231219,C,C,,C,,,,A,,ZSO,SCN12,CNY,CNY,,3397013685,雨刮片,,0,EA,EA,EA,,000000,,W1,P1,1,765.00,765.00,765.00,0.00,0.00,0.00,,000200,66A1,KMGRN4,00000000,DAP,Delivered At Place,D495,,BCP,,"""""",,1.00000,765.00,25.50,30.00,30.00,0.00,0.00,-7.78930,765.00,98.21,Y,30.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,765.00,765.00,98.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,765.00,98.21,765.00,0.00,0.00,0.00,0,0,0,0,0,,2023-12-21 06:03:59,202312
2001176767,000250,ZSO,Standard,C,CN20,G1,0118004312,0118403454,0118004312,0986T16003HDU,,66A1,20231220,133137,2023-12-20 13:31:37,20231220,133144,2023-12-20 13:31:44,00000000,20231220,20231220,20231226,20231220,20231222,20231220,20231222,20231220,20231220,20231222,20231226,00000000,,20231220,C,C,,C,,,,A,,ZSO,KAM3,CNY,CNY,,0986T16003,刹车前盘,BD-BO-BDT|5,0,EA,EA,EA,,000000,,O4,QC,1,320.00,320.00,320.00,0.00,0.00,0.00,,000250,66A1,NGBRN3,00000000,DAP,Delivered At Place,R259,465898562,EDI/API,,"""""",,1.00000,320.00,160.00,2.00,2.00,0.00,0.00,-7.82310,320.00,40.90,Y,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,320.00,320.00,40.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,320.00,40.90,320.00,0.00,0.00,0.00,0,0,0,0,0,,2023-12-21 06:03:59,202312
